Movie_Name,Star_Distribution
蔡李佛,"[1.9, 2.0, 17.8, 34.8, 43.5]"
蝎子王3：救赎之战 The Scorpion King 3: Battle for Redemption,"[2.8, 3.6, 22.0, 33.8, 37.8]"
血滴子,"[4.4, 5.6, 30.0, 38.0, 22.0]"
街头霸王: 春丽传奇 Street Fighter: The Legend of Chun-Li,"[1.6, 5.4, 31.6, 39.7, 21.7]"
西游记之大闹天宫,"[2.3, 5.2, 25.4, 34.5, 32.6]"
解码游戏,"[3.1, 3.5, 18.6, 34.3, 40.6]"
谜巢,"[0.9, 1.6, 14.8, 36.6, 46.2]"
超凡战队 Power Rangers,"[1.8, 5.3, 30.3, 42.7, 20.0]"
超时空救兵,"[4.7, 10.2, 34.9, 29.9, 20.2]"
超级保镖,"[6.6, 11.6, 35.0, 29.0, 17.7]"
超级快递,"[1.5, 5.2, 31.8, 39.3, 22.3]"
进击的巨人真人版：前篇 進撃の巨人 ATTACK ON TITAN,"[3.1, 9.7, 38.2, 33.3, 15.7]"
迷局 Setup,"[1.4, 5.1, 32.9, 43.2, 17.4]"
追影,"[1.2, 4.9, 31.3, 40.0, 22.6]"
逆时营救,"[3.0, 8.4, 33.2, 33.7, 21.6]"
野蛮秘笈,"[1.8, 5.8, 39.1, 37.8, 15.5]"
金蝉脱壳3：恶魔车站 Escape Plan: The Extractors,"[1.1, 1.7, 16.9, 43.6, 36.7]"
钢铁骑士 Max Steel,"[0.7, 1.8, 18.1, 43.2, 36.1]"
长城 The Great Wall,"[4.8, 11.2, 32.7, 25.8, 25.5]"
风云2 风云Ⅱ,"[2.6, 7.9, 37.3, 36.8, 15.4]"
骇客交锋 Blackhat,"[2.4, 4.4, 20.9, 38.2, 34.0]"
黄金兄弟,"[3.1, 7.8, 37.7, 37.3, 14.1]"
黄飞鸿之南北英雄,"[1.7, 5.2, 32.1, 39.0, 21.9]"
黑猫警长之翡翠之星,"[7.1, 11.3, 33.9, 28.6, 19.2]"
黑白迷宫,"[1.7, 4.6, 33.5, 43.0, 17.1]"
龙牌之谜,"[1.5, 3.1, 15.4, 33.8, 46.3]"
龙虾刑警,"[1.5, 6.4, 38.2, 41.4, 12.5]"
一千零一夜,"[10.6, 10.8, 27.7, 22.5, 28.4]"
冰雪女王3：火与冰 Снежная королева 3: Огонь и лед,"[3.0, 10.1, 37.3, 24.6, 25.0]"
喜羊羊与灰太狼之羊年喜羊羊,"[16.0, 10.9, 32.9, 17.0, 23.2]"
喜羊羊与灰太狼之飞马奇遇记,"[11.5, 9.4, 25.4, 23.8, 29.9]"
大卫贝肯之倒霉特工熊,"[3.1, 5.9, 28.7, 30.5, 31.7]"
大闹西游,"[4.2, 9.8, 37.2, 32.1, 16.7]"
我叫MT之山口山战记,"[7.6, 9.3, 30.2, 30.1, 22.9]"
数码宝贝大冒险tri. 第6章：我们的未来 デジモンアドベンチャー tri. 第6章 ぼくらの未来,"[7.2, 11.7, 35.2, 27.6, 18.2]"
新大头儿子和小头爸爸2一日成才,"[6.3, 8.2, 21.6, 22.4, 41.6]"
新大头儿子和小头爸爸3：俄罗斯奇遇记,"[4.8, 9.9, 34.5, 26.3, 24.6]"
新大头儿子和小头爸爸之秘密计划,"[7.4, 8.6, 21.4, 24.4, 38.3]"
新灰姑娘 Cinderella 3D,"[5.2, 5.6, 27.6, 26.7, 34.9]"
桂宝之爆笑闯宇宙,"[7.4, 11.1, 34.1, 28.9, 18.5]"
永远永远爱你 あなたをずっとあいしてる,"[4.5, 7.1, 36.0, 36.9, 15.5]"
江南,"[11.0, 16.4, 28.8, 27.4, 16.4]"
猪猪侠之英雄猪少年,"[15.0, 6.0, 25.0, 21.0, 33.0]"
赛尔号大电影3之战神联盟,"[9.4, 10.8, 26.6, 22.7, 30.5]"
赛尔号大电影6：圣者无敌,"[6.4, 7.4, 33.0, 19.1, 34.0]"
金箍棒传奇,"[11.9, 10.5, 26.5, 16.5, 34.7]"
阿凡提之奇缘历险,"[5.4, 10.7, 34.0, 26.6, 23.3]"
龙在哪里？,"[14.8, 14.5, 29.1, 21.1, 20.6]"
一八九四·甲午大海战,"[9.5, 14.2, 33.4, 23.1, 19.7]"
八子,"[6.5, 7.8, 18.4, 24.9, 42.4]"
周恩来的四个昼夜,"[17.3, 19.3, 27.9, 12.8, 22.6]"
大唐玄奘,"[6.4, 12.7, 35.3, 28.1, 17.4]"
忠诚与背叛,"[4.6, 8.7, 33.1, 24.6, 28.9]"
我的战争,"[10.1, 9.6, 26.5, 23.9, 29.9]"
百团大战,"[8.2, 11.8, 31.0, 19.8, 29.3]"
蝎子王4：争权夺利 The Scorpion King 4: Quest for Power,"[2.1, 5.0, 22.5, 39.5, 30.9]"
血战湘江,"[9.5, 17.1, 25.8, 17.1, 30.4]"
轩辕大帝,"[6.8, 12.8, 25.7, 23.8, 30.8]"
三伏天,"[2.1, 7.1, 34.5, 41.4, 14.9]"
与父同行 พ่อและลูกชาย,"[4.9, 6.4, 26.5, 35.7, 26.5]"
同流合乌 同流合烏,"[3.5, 4.9, 23.1, 33.2, 35.3]"
深夜的红酒 คืนนั้น,"[6.4, 9.5, 30.1, 36.1, 17.9]"
类似爱情,"[10.3, 11.3, 30.4, 24.8, 23.2]"
美好生活,"[6.2, 11.9, 29.4, 28.2, 24.2]"
一路向前,"[8.9, 5.5, 16.9, 26.7, 42.1]"
三枪拍案惊奇,"[2.5, 8.1, 31.8, 33.7, 24.0]"
三笑之才子佳人,"[1.9, 3.6, 20.8, 33.3, 40.4]"
不怕贼惦记,"[1.0, 3.7, 31.6, 39.0, 24.7]"
举起手来2：追击阿多丸号,"[4.1, 8.4, 31.5, 30.4, 25.5]"
唐伯虎点秋香2之四大才子,"[1.5, 3.9, 21.9, 35.2, 37.5]"
小明和他的小伙伴们,"[2.5, 4.7, 21.5, 36.1, 35.3]"
山炮进城,"[3.0, 4.2, 19.2, 32.5, 41.1]"
幸福马上来,"[2.1, 4.0, 17.6, 36.9, 39.5]"
恶棍天使,"[4.1, 5.9, 21.5, 28.5, 40.0]"
我是你妈,"[3.5, 9.3, 33.8, 36.4, 17.0]"
我的老婆是赌圣 我老婆係賭聖,"[2.1, 5.5, 35.5, 37.0, 19.9]"
新扎师妹3 新紮師妹3,"[2.5, 6.2, 36.8, 36.3, 18.2]"
无价之宝,"[1.3, 2.4, 17.8, 34.8, 43.6]"
李茶的姑妈,"[2.2, 7.5, 31.6, 37.0, 21.7]"
极限挑战之皇家宝藏,"[7.3, 6.1, 21.9, 31.3, 33.3]"
气喘吁吁,"[3.0, 6.2, 19.5, 30.7, 40.7]"
火星没事,"[2.0, 8.1, 39.8, 31.7, 18.4]"
父子雄兵,"[2.2, 6.7, 31.6, 39.8, 19.7]"
爸爸去哪儿2,"[4.0, 8.1, 29.2, 27.8, 30.9]"
爸爸的假期,"[2.6, 4.0, 21.6, 34.3, 37.5]"
疯狂72小时,"[3.1, 6.2, 32.4, 35.6, 22.7]"
超级经纪人 超級經理人,"[2.2, 6.0, 38.6, 36.8, 16.4]"
过年好,"[7.1, 11.6, 32.1, 28.8, 20.4]"
麻烦家族,"[2.4, 6.6, 29.7, 37.2, 24.1]"
不肯去观音,"[13.9, 12.8, 31.8, 23.2, 18.3]"
人形少女 フィギュアなあなた,"[5.4, 10.9, 35.9, 33.9, 13.9]"
喵星人,"[4.9, 6.9, 26.2, 31.1, 30.8]"
大梦西游4伏妖记,"[5.3, 9.1, 32.6, 25.0, 28.0]"
天气预爆,"[2.0, 3.9, 17.5, 32.8, 43.8]"
倚天屠龙记,"[13.1, 18.5, 28.7, 22.1, 17.6]"
开心魔法,"[2.2, 4.4, 26.8, 38.7, 28.0]"
水怪,"[2.3, 4.6, 30.6, 37.3, 25.2]"
祖宗十九代,"[3.0, 4.7, 24.9, 36.1, 31.3]"
老九门番外之二月花开,"[8.2, 7.8, 32.4, 28.6, 22.9]"
芳香之城传奇,"[2.3, 5.7, 20.2, 30.7, 41.1]"
镇魂法师,"[0.9, 10.3, 36.0, 36.0, 16.8]"
陋室 The Shack,"[20.9, 17.7, 25.9, 20.8, 14.7]"
0.0兆赫 0.0MHz,"[4.2, 6.7, 38.7, 37.0, 13.4]"
407航班 407 เที่ยวบินผี,"[2.7, 6.5, 34.1, 36.2, 20.6]"
三十极夜2：黑暗的日子 30 Days of Night: Dark Days,"[2.5, 6.1, 33.8, 40.0, 17.6]"
丧尸出笼：血脉 Day of the Dead: Bloodline,"[2.4, 2.8, 17.6, 37.2, 40.0]"
丧尸的屁股 ゾンビアス,"[7.5, 6.6, 23.9, 29.4, 32.6]"
今晚打丧尸 今晚打喪屍,"[2.4, 5.4, 21.6, 38.7, 31.9]"
僵尸海狸 Zombeavers,"[2.8, 3.3, 22.4, 35.9, 35.7]"
午夜43路 恐怖在線,"[2.8, 6.0, 37.0, 34.2, 20.0]"
午夜凶铃3(美版) Rings,"[3.3, 7.3, 35.0, 38.8, 15.6]"
变蚊人 Bite,"[3.0, 8.9, 36.6, 33.3, 18.1]"
古镇凶灵之巫咒缠身,"[4.9, 4.9, 18.1, 28.7, 43.5]"
吸血鬼学院 Vampire Academy,"[3.7, 7.6, 39.1, 33.9, 15.7]"
咒怨：完结篇 呪怨 ザ・ファイナル,"[4.4, 7.5, 32.8, 37.5, 17.7]"
夜之亡灵 Dylan Dog: Dead of Night,"[2.4, 6.4, 38.9, 38.0, 14.3]"
夜惊魂,"[1.2, 2.6, 18.5, 35.1, 42.6]"
夺命金字塔 The Pyramid,"[2.2, 9.1, 36.2, 37.1, 15.4]"
女同志吸血鬼杀手 Lesbian Vampire Killers,"[1.3, 5.3, 26.9, 37.7, 28.9]"
奴隶区：我和我的23个奴隶 奴隷区 僕と23人の奴隷,"[1.8, 6.0, 30.7, 36.7, 24.7]"
妖铃铃,"[1.7, 4.8, 25.4, 38.7, 29.3]"
富江 无限制 富江 アンリミテッド,"[3.2, 7.0, 27.0, 34.6, 28.3]"
尸城 屍城,"[2.9, 4.5, 23.6, 38.2, 30.8]"
屠宰场准则 Slaughterhouse Rulez,"[3.5, 8.5, 34.9, 40.6, 12.5]"
山村老尸3：恶灵缠身,"[3.4, 5.8, 31.1, 33.6, 26.1]"
布莱尔女巫 Blair Witch,"[3.3, 9.0, 33.4, 35.8, 18.6]"
恐怖神棍节 11-11-11,"[1.6, 4.2, 31.7, 42.6, 19.9]"
惊心食人族3 Jeepers Creepers 3: Cathedral,"[4.1, 4.6, 22.3, 39.6, 29.4]"
慢性折磨呕吐室 Slow Torture Puke Chamber,"[9.5, 9.3, 26.6, 24.4, 30.1]"
新尸骨无存 Cabin Fever,"[2.5, 5.3, 32.8, 40.3, 19.1]"
普罗旺斯惊魂记 Derrière les murs,"[2.1, 3.4, 19.6, 36.7, 38.3]"
极道大战争 極道大戦争,"[4.9, 12.2, 33.1, 34.1, 15.8]"
死亡寿司 デッド寿司,"[4.8, 8.1, 27.2, 36.3, 23.6]"
瑜伽学院 요가학원,"[2.2, 6.9, 34.3, 41.5, 15.0]"
瘦长鬼影 Slender Man,"[2.7, 2.7, 15.5, 37.5, 41.6]"
看不见的小孩,"[1.3, 9.7, 33.1, 31.8, 24.0]"
端岛计划 ฮาชิมะโปรเจกต์,"[2.7, 6.7, 37.3, 37.5, 15.7]"
终极囚禁 The Final,"[2.6, 7.8, 29.8, 41.0, 18.9]"
绣花鞋,"[1.7, 4.2, 31.5, 39.2, 23.4]"
育婴室,"[4.0, 8.2, 35.9, 32.2, 19.7]"
自杀森林 The Forest,"[2.5, 5.8, 34.2, 41.5, 16.0]"
蜜月 Honeymoon,"[1.8, 6.2, 23.9, 44.2, 24.0]"
贞子3D 貞子3D,"[2.0, 2.8, 16.9, 33.1, 45.2]"
贞子大战伽椰子 貞子VS伽椰子,"[3.1, 6.2, 28.2, 38.8, 23.6]"
道士出山,"[4.7, 6.6, 29.6, 31.9, 27.1]"
非礼勿视2 See No Evil 2,"[2.6, 4.7, 28.0, 38.5, 26.2]"
魕,"[2.6, 8.4, 34.2, 33.7, 21.1]"
鲨鱼惊魂夜 Shark Night 3D,"[1.5, 4.4, 27.3, 39.8, 26.9]"
黑百合小区 クロユリ団地,"[2.0, 4.8, 32.5, 42.0, 18.7]"
全城通缉,"[3.5, 5.6, 29.7, 36.7, 24.4]"
封门诡影,"[5.9, 9.6, 27.3, 28.1, 29.1]"
张震讲故事之合租屋,"[3.3, 4.8, 17.2, 31.5, 43.2]"
推理笔记,"[2.9, 4.5, 29.0, 40.3, 23.3]"
王牌,"[3.8, 8.6, 27.7, 34.2, 25.7]"
绝录求生,"[5.6, 12.7, 30.1, 25.2, 26.3]"
迷魂之密室逃脱,"[3.1, 5.7, 19.6, 30.2, 41.3]"
那年夏天你去了哪里,"[2.8, 6.6, 33.3, 37.3, 19.9]"
重生爱人,"[4.8, 8.3, 28.2, 34.3, 24.3]"
金田一少年事件簿 香港九龙财宝杀人事件 金田一少年の事件簿 香港九龍財宝殺人事件,"[3.4, 7.6, 36.9, 37.1, 14.9]"
