Movie_Name,Star_Distribution
白狐,"[2.9, 2.7, 11.4, 23.9, 59.0]"
神奇,"[3.0, 2.7, 7.1, 16.1, 71.1]"
紫宅,"[1.5, 2.2, 12.8, 27.9, 55.6]"
英雄之战,"[3.5, 2.2, 8.4, 19.7, 66.1]"
谁说我们不会爱,"[3.7, 2.6, 13.4, 25.4, 54.9]"
那件疯狂的小事叫爱情,"[7.1, 5.9, 13.9, 26.2, 46.9]"
闺蜜2,"[1.1, 1.1, 5.5, 15.3, 77.1]"
非狐外传,"[2.6, 2.2, 9.3, 24.1, 61.7]"
十二星座离奇事件,"[1.1, 1.3, 10.2, 27.6, 59.9]"
危情营救,"[1.5, 2.5, 4.6, 12.9, 78.5]"
呆呆计划,"[1.5, 0.0, 15.6, 26.3, 56.7]"
大嫂,"[0.9, 2.3, 13.7, 30.9, 52.3]"
极致追击,"[1.5, 1.9, 13.7, 30.9, 52.1]"
欲念游戏,"[0.4, 0.4, 10.0, 25.6, 63.6]"
江湖有道 江湖悲劇,"[1.7, 1.4, 9.7, 25.6, 61.6]"
玩命狙击 มายเบสท์บอดี้การ์ด,"[0.6, 1.2, 13.4, 26.6, 58.2]"
西北风云,"[1.4, 2.1, 17.1, 31.0, 48.4]"
2012: 冰河时期 2012: Ice Age,"[2.5, 3.8, 17.4, 25.5, 50.7]"
功夫机器侠,"[1.1, 2.4, 9.3, 22.5, 64.8]"
夺命五头鲨 5-Headed Shark Attack,"[2.3, 1.9, 5.9, 19.7, 70.2]"
异形大战阿凡达 Aliens vs. Avatars,"[6.7, 0.5, 1.3, 4.4, 87.1]"
环大西洋 Atlantic Rim,"[5.1, 1.4, 4.4, 12.0, 77.1]"
美国战舰 American Battleship,"[1.7, 2.0, 10.5, 22.4, 63.5]"
蒸发太平洋 Lost in the Pacific,"[3.9, 4.0, 8.4, 19.9, 63.9]"
零下100度 100 Degrees Below Zero,"[1.1, 1.6, 8.3, 20.5, 68.5]"
鲨卷风 Sharknado,"[6.4, 2.6, 13.3, 28.6, 49.1]"
中国好声音之为你转身,"[1.7, 0.8, 3.9, 9.9, 83.7]"
毕业那年,"[3.1, 4.2, 20.7, 24.3, 47.7]"
