Movie_Name,Star_Distribution
你的名字。 君の名は。,"[42.7, 38.8, 16.4, 1.7, 0.5]"
你看起来好像很好吃 おまえうまそうだな,"[53.7, 36.0, 9.5, 0.7, 0.2]"
侧耳倾听 耳をすませば,"[53.7, 36.5, 9.2, 0.5, 0.1]"
借着雨点说爱你 いま、会いにゆきます,"[41.7, 40.8, 16.0, 1.2, 0.2]"
倩女幽魂,"[46.1, 42.9, 10.5, 0.5, 0.1]"
偷自行车的人 Ladri di biciclette,"[55.2, 37.6, 6.6, 0.4, 0.1]"
傲慢与偏见 Pride & Prejudice,"[43.5, 42.4, 12.9, 1.0, 0.2]"
光荣之路 Paths of Glory,"[58.2, 35.2, 6.1, 0.3, 0.2]"
光辉岁月 Remember the Titans,"[43.0, 45.4, 10.9, 0.5, 0.2]"
入殓师 おくりびと,"[51.7, 38.9, 8.8, 0.5, 0.1]"
全金属外壳 Full Metal Jacket,"[41.1, 46.1, 11.8, 0.8, 0.2]"
八部半 8½,"[45.0, 37.8, 14.0, 2.2, 1.1]"
公民凯恩 Citizen Kane,"[47.3, 38.8, 12.2, 1.3, 0.4]"
共同警备区 공동경비구역 JSA,"[47.1, 43.3, 8.9, 0.6, 0.2]"
关于我母亲的一切 Todo sobre mi madre,"[41.4, 44.9, 12.3, 1.0, 0.2]"
内布拉斯加 Nebraska,"[41.9, 47.1, 10.1, 0.6, 0.2]"
再见列宁 Good Bye Lenin!,"[47.8, 42.3, 9.3, 0.5, 0.1]"
再见我们的幼儿园 さよならぼくたちのようちえん,"[51.0, 36.6, 11.3, 0.9, 0.2]"
冰血暴 第一季 Fargo Season 1,"[57.1, 34.8, 7.2, 0.7, 0.3]"
刺杀肯尼迪 JFK,"[52.8, 35.7, 10.3, 0.9, 0.3]"
刺猬的优雅 Le hérisson,"[51.1, 38.3, 9.5, 0.9, 0.2]"
剪刀手爱德华 Edward Scissorhands,"[47.7, 40.0, 11.2, 0.8, 0.2]"
勇士 Warrior,"[55.3, 34.9, 8.8, 0.7, 0.3]"
勇敢的心 Braveheart,"[54.9, 34.8, 9.4, 0.7, 0.2]"
十二怒汉 12 Angry Men,"[74.3, 21.9, 3.5, 0.2, 0.1]"
十二怒汉（电视版） Studio One: Twelve Angry Men,"[76.9, 20.1, 2.6, 0.2, 0.1]"
十分钟年华老去：小号篇 Ten Minutes Older: The Trumpet,"[41.7, 44.9, 12.3, 0.9, 0.3]"
十月的天空 October Sky,"[46.0, 43.9, 9.5, 0.4, 0.1]"
千与千寻 千と千尋の神隠し,"[71.6, 24.3, 3.8, 0.2, 0.1]"
千年女优 千年女優,"[48.0, 38.7, 11.9, 1.1, 0.3]"
千钧一发 Gattaca,"[48.7, 40.8, 9.8, 0.6, 0.1]"
南极大冒险 Eight Below,"[46.7, 41.3, 11.2, 0.6, 0.1]"
南海十三郎,"[65.4, 28.1, 5.8, 0.4, 0.3]"
卡萨布兰卡 Casablanca,"[45.7, 41.3, 12.1, 0.7, 0.1]"
卢旺达饭店 Hotel Rwanda,"[53.0, 39.2, 7.4, 0.4, 0.1]"
发条橙 A Clockwork Orange,"[44.5, 40.0, 13.2, 1.6, 0.7]"
叫我第一名 Front of the Class,"[44.0, 43.3, 11.8, 0.7, 0.1]"
可可西里,"[48.6, 40.7, 9.8, 0.7, 0.2]"
听见天堂 Rosso come il cielo,"[52.6, 39.0, 8.0, 0.3, 0.1]"
启示 Apocalypto,"[42.5, 43.6, 12.5, 1.1, 0.3]"
告白,"[50.2, 37.7, 10.3, 1.2, 0.5]"
和声 하모니,"[42.6, 42.9, 13.4, 1.0, 0.2]"
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,"[51.5, 35.7, 11.6, 0.8, 0.3]"
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,"[40.6, 44.0, 14.5, 0.8, 0.1]"
哪吒之魔童降世,"[47.4, 37.6, 12.7, 1.7, 0.6]"
哪啊哪啊神去村 WOOD JOB！神去なあなあ日常,"[40.8, 46.5, 11.7, 0.8, 0.2]"
唐顿庄园：2011圣诞特别篇 Downton Abbey: Christmas at Downton Abbey,"[66.9, 28.2, 4.7, 0.2, 0.1]"
喜剧之王 喜劇之王,"[47.6, 40.4, 11.2, 0.7, 0.1]"
喜宴 囍宴,"[51.7, 41.3, 6.7, 0.3, 0.1]"
喜福会 The Joy Luck Club,"[40.7, 43.5, 13.6, 1.6, 0.6]"
四百击 Les quatre cents coups,"[48.8, 40.7, 9.6, 0.7, 0.2]"
回家的路 집으로 가는 길,"[40.8, 45.8, 12.3, 0.9, 0.2]"
因父之名 In the Name of the Father,"[49.1, 41.3, 8.8, 0.7, 0.2]"
土拨鼠之日 Groundhog Day,"[41.0, 46.4, 11.9, 0.6, 0.1]"
地下 Подземље,"[67.7, 23.9, 6.6, 1.2, 0.6]"
地球上的星星 Taare Zameen Par,"[54.7, 35.9, 8.6, 0.7, 0.2]"
地雷区 Under sandet,"[40.9, 48.7, 9.8, 0.5, 0.1]"
坠入 The Fall,"[53.1, 35.2, 10.1, 1.3, 0.3]"
城南旧事,"[51.6, 40.1, 7.9, 0.3, 0.1]"
大佛普拉斯,"[45.8, 43.7, 9.3, 0.9, 0.3]"
大卫·戈尔的一生 The Life of David Gale,"[44.7, 43.6, 10.4, 0.8, 0.4]"
大独裁者 The Great Dictator,"[59.4, 33.2, 6.8, 0.5, 0.1]"
大路 La strada,"[57.5, 33.8, 7.9, 0.6, 0.2]"
大都会 Metropolis,"[59.4, 32.0, 7.6, 0.7, 0.3]"
大鱼 Big Fish,"[51.0, 37.7, 10.3, 0.8, 0.2]"
天伦之旅 Everybody's Fine,"[43.4, 45.0, 11.1, 0.5, 0.1]"
天佑鲍比 Prayers for Bobby,"[55.9, 33.8, 9.2, 0.8, 0.2]"
天国王朝 Kingdom of Heaven,"[40.0, 42.6, 15.5, 1.5, 0.3]"
